date,value
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,19
2009-01-10,61
2009-01-11,95
2009-01-12,101
2009-01-13,123
2009-01-14,133
2009-01-15,140
2009-01-16,114
2009-01-17,109
2009-01-18,111
2009-01-19,133
2009-01-20,123
2009-01-21,116
2009-01-22,95
2009-01-23,91
2009-01-24,212
2009-01-25,193
2009-01-26,117
2009-01-27,101
2009-01-28,112
2009-01-29,134
2009-01-30,117
2009-01-31,159
2009-02-01,116
2009-02-02,130
2009-02-03,154
2009-02-04,119
2009-02-05,126
2009-02-06,122
2009-02-07,156
2009-02-08,134
2009-02-09,179
2009-02-10,120
2009-02-11,148
2009-02-12,119
2009-02-13,124
2009-02-14,136
2009-02-15,142
2009-02-16,153
2009-02-17,117
2009-02-18,118
2009-02-19,141
2009-02-20,122
2009-02-21,114
2009-02-22,133
2009-02-23,108
2009-02-24,106
2009-02-25,105
2009-02-26,107
2009-02-27,152
2009-02-28,107
2009-03-01,105
2009-03-02,108
2009-03-03,114
2009-03-04,130
2009-03-05,121
2009-03-06,117
2009-03-07,109
2009-03-08,142
2009-03-09,108
2009-03-10,107
2009-03-11,114
2009-03-12,122
2009-03-13,127
2009-03-14,110
2009-03-15,123
2009-03-16,170
2009-03-17,114
2009-03-18,129
2009-03-19,122
2009-03-20,131
2009-03-21,50
2009-03-22,131
2009-03-23,130
2009-03-24,105
2009-03-25,117
2009-03-26,146
2009-03-27,106
2009-03-28,140
2009-03-29,116
2009-03-30,120
2009-03-31,143
2009-04-01,114
2009-04-02,115
2009-04-03,116
2009-04-04,113
2009-04-05,148
2009-04-06,109
2009-04-07,100
2009-04-08,105
2009-04-09,99
2009-04-10,108
2009-04-11,128
2009-04-12,127
2009-04-13,117
2009-04-14,124
2009-04-15,113
2009-04-16,123
2009-04-17,112
2009-04-18,131
2009-04-19,128
2009-04-20,236
2009-04-21,125
2009-04-22,121
2009-04-23,75
2009-04-24,115
2009-04-25,118
2009-04-26,128
2009-04-27,104
2009-04-28,117
2009-04-29,149
2009-04-30,131
2009-05-01,121
2009-05-02,142
2009-05-03,110
2009-05-04,159
2009-05-05,146
2009-05-06,135
2009-05-07,122
2009-05-08,107
2009-05-09,78
2009-05-10,85
2009-05-11,123
2009-05-12,130
2009-05-13,117
2009-05-14,145
2009-05-15,147
2009-05-16,119
2009-05-17,127
2009-05-18,118
2009-05-19,86
2009-05-20,120
2009-05-21,82
2009-05-22,61
2009-05-23,32
2009-05-24,100
2009-05-25,109
2009-05-26,125
2009-05-27,119
2009-05-28,95
2009-05-29,167
2009-05-30,109
2009-05-31,96
2009-06-01,73
2009-06-02,111
2009-06-03,71
2009-06-04,66
2009-06-05,30
2009-06-06,28
2009-06-07,16
2009-06-08,82
2009-06-09,91
2009-06-10,82
2009-06-11,89
2009-06-12,86
2009-06-13,78
2009-06-14,72
2009-06-15,84
2009-06-16,71
2009-06-17,79
2009-06-18,80
2009-06-19,87
2009-06-20,78
2009-06-21,81
2009-06-22,137
2009-06-23,76
2009-06-24,100
2009-06-25,89
2009-06-26,90
2009-06-27,84
2009-06-28,48
2009-06-29,87
2009-06-30,85
2009-07-01,77
2009-07-02,85
2009-07-03,82
2009-07-04,89
2009-07-05,79
2009-07-06,84
2009-07-07,69
2009-07-08,74
2009-07-09,86
2009-07-10,81
2009-07-11,83
2009-07-12,77
2009-07-13,78
2009-07-14,69
2009-07-15,45
2009-07-16,71
2009-07-17,47
2009-07-18,4
2009-07-19,70
2009-07-20,192
2009-07-21,82
2009-07-22,60
2009-07-23,76
2009-07-24,73
2009-07-25,32
2009-07-26,21
2009-07-27,74
2009-07-28,41
2009-07-29,22
2009-07-30,17
2009-07-31,17
2009-08-01,28
2009-08-02,23
2009-08-03,12
2009-08-04,81
2009-08-05,87
2009-08-06,90
2009-08-07,192
2009-08-08,80
2009-08-09,101
2009-08-10,75
2009-08-11,70
2009-08-12,63
2009-08-13,85
2009-08-14,63
2009-08-15,26
2009-08-16,19
2009-08-17,17
2009-08-18,10
2009-08-19,18
2009-08-20,22
2009-08-21,14
2009-08-22,7
2009-08-23,15
2009-08-24,15
2009-08-25,50
2009-08-26,96
2009-08-27,29
2009-08-28,75
2009-08-29,78
2009-08-30,99
2009-08-31,93
2009-09-01,78
2009-09-02,66
2009-09-03,76
2009-09-04,64
2009-09-05,76
2009-09-06,68
2009-09-07,92
2009-09-08,69
2009-09-09,54
2009-09-10,67
2009-09-11,67
2009-09-12,69
2009-09-13,75
2009-09-14,74
2009-09-15,44
2009-09-16,74
2009-09-17,186
2009-09-18,78
2009-09-19,74
2009-09-20,78
2009-09-21,78
2009-09-22,66
2009-09-23,36
2009-09-24,97
2009-09-25,119
2009-09-26,117
2009-09-27,87
2009-09-28,85
2009-09-29,133
2009-09-30,85
2009-10-01,82
2009-10-02,83
2009-10-03,58
2009-10-04,53
2009-10-05,55
2009-10-06,58
2009-10-07,60
2009-10-08,70
2009-10-09,79
2009-10-10,77
2009-10-11,74
2009-10-12,132
2009-10-13,57
2009-10-14,69
2009-10-15,71
2009-10-16,141
2009-10-17,57
2009-10-18,82
2009-10-19,112
2009-10-20,197
2009-10-21,99
2009-10-22,130
2009-10-23,89
2009-10-24,70
2009-10-25,76
2009-10-26,71
2009-10-27,81
2009-10-28,66
2009-10-29,89
2009-10-30,60
2009-10-31,46
2009-11-01,25
2009-11-02,33
2009-11-03,62
2009-11-04,105
2009-11-05,57
2009-11-06,62
2009-11-07,69
2009-11-08,73
2009-11-09,64
2009-11-10,120
2009-11-11,76
2009-11-12,68
2009-11-13,91
2009-11-14,79
2009-11-15,96
2009-11-16,97
2009-11-17,92
2009-11-18,79
2009-11-19,153
2009-11-20,86
2009-11-21,73
2009-11-22,106
2009-11-23,96
2009-11-24,93
2009-11-25,90
2009-11-26,84
2009-11-27,74
2009-11-28,71
2009-11-29,60
2009-11-30,75
2009-12-01,240
2009-12-02,94
2009-12-03,88
2009-12-04,36
2009-12-05,84
2009-12-06,107
2009-12-07,133
2009-12-08,116
2009-12-09,119
2009-12-10,104
2009-12-11,180
2009-12-12,110
2009-12-13,114
2009-12-14,437
2009-12-15,137
2009-12-16,136
2009-12-17,179
2009-12-18,225
2009-12-19,200
2009-12-20,177
2009-12-21,175
2009-12-22,162
2009-12-23,154
2009-12-24,154
2009-12-25,151
2009-12-26,174
2009-12-27,173
2009-12-28,137
2009-12-29,171
2009-12-30,141
2009-12-31,138
2010-01-01,136
2010-01-02,126
2010-01-03,186
2010-01-04,266
2010-01-05,198
2010-01-06,163
2010-01-07,154
2010-01-08,153
2010-01-09,151
2010-01-10,190
2010-01-11,159
2010-01-12,375
2010-01-13,168
2010-01-14,155
2010-01-15,147
2010-01-16,132
2010-01-17,131
2010-01-18,128
2010-01-19,124
2010-01-20,158
2010-01-21,187
2010-01-22,141
2010-01-23,164
2010-01-24,156
2010-01-25,272
2010-01-26,215
2010-01-27,182
2010-01-28,199
2010-01-29,214
2010-01-30,248
2010-01-31,184
2010-02-01,203
2010-02-02,167
2010-02-03,277
2010-02-04,269
2010-02-05,472
2010-02-06,224
2010-02-07,230
2010-02-08,329
2010-02-09,623
2010-02-10,777
2010-02-11,245
2010-02-12,226
2010-02-13,318
2010-02-14,263
2010-02-15,273
2010-02-16,217
2010-02-17,267
2010-02-18,268
2010-02-19,198
2010-02-20,221
2010-02-21,344
2010-02-22,531
2010-02-23,252
2010-02-24,283
2010-02-25,300
2010-02-26,196
2010-02-27,184
2010-02-28,264
2010-03-01,227
2010-03-02,233
2010-03-03,260
2010-03-04,575
2010-03-05,175
2010-03-06,274
2010-03-07,297
2010-03-08,313
2010-03-09,229
2010-03-10,211
2010-03-11,200
2010-03-12,130
2010-03-13,190
2010-03-14,134
2010-03-15,145
2010-03-16,154
2010-03-17,164
2010-03-18,285
2010-03-19,229
2010-03-20,273
2010-03-21,193
2010-03-22,223
2010-03-23,289
2010-03-24,208
2010-03-25,541
2010-03-26,280
2010-03-27,217
2010-03-28,196
2010-03-29,268
2010-03-30,227
2010-03-31,239
2010-04-01,197
2010-04-02,179
2010-04-03,192
2010-04-04,241
2010-04-05,307
2010-04-06,267
2010-04-07,303
2010-04-08,227
2010-04-09,308
2010-04-10,559
2010-04-11,398
2010-04-12,357
2010-04-13,246
2010-04-14,338
2010-04-15,891
2010-04-16,433
2010-04-17,306
2010-04-18,3479
2010-04-19,537
2010-04-20,426
2010-04-21,375
2010-04-22,232
2010-04-23,241
2010-04-24,285
2010-04-25,343
2010-04-26,281
2010-04-27,271
2010-04-28,329
2010-04-29,212
2010-04-30,206
2010-05-01,269
2010-05-02,231
2010-05-03,302
2010-05-04,275
2010-05-05,296
2010-05-06,446
2010-05-07,250
2010-05-08,420
2010-05-09,267
2010-05-10,286
2010-05-11,160
2010-05-12,263
2010-05-13,255
2010-05-14,249
2010-05-15,159
2010-05-16,169
2010-05-17,291
2010-05-18,309
2010-05-19,309
2010-05-20,291
2010-05-21,318
2010-05-22,349
2010-05-23,446
2010-05-24,329
2010-05-25,348
2010-05-26,403
2010-05-27,385
2010-05-28,359
2010-05-29,372
2010-05-30,270
2010-05-31,297
2010-06-01,250
2010-06-02,259
2010-06-03,409
2010-06-04,226
2010-06-05,270
2010-06-06,263
2010-06-07,478
2010-06-08,350
2010-06-09,342
2010-06-10,291
2010-06-11,356
2010-06-12,290
2010-06-13,351
2010-06-14,415
2010-06-15,371
2010-06-16,291
2010-06-17,279
2010-06-18,274
2010-06-19,385
2010-06-20,305
2010-06-21,352
2010-06-22,366
2010-06-23,347
2010-06-24,366
2010-06-25,244
2010-06-26,252
2010-06-27,312
2010-06-28,288
2010-06-29,413
2010-06-30,438
2010-07-01,403
2010-07-02,398
2010-07-03,326
2010-07-04,431
2010-07-05,380
2010-07-06,273
2010-07-07,383
2010-07-08,309
2010-07-09,349
2010-07-10,405
2010-07-11,717
2010-07-12,3430
2010-07-13,2012
2010-07-14,6752
2010-07-15,2009
2010-07-16,1721
2010-07-17,895
2010-07-18,860
2010-07-19,929
2010-07-20,936
2010-07-21,784
2010-07-22,594
2010-07-23,655
2010-07-24,959
2010-07-25,2130
2010-07-26,1250
2010-07-27,775
2010-07-28,664
2010-07-29,534
2010-07-30,582
2010-07-31,479
2010-08-01,622
2010-08-02,632
2010-08-03,988
2010-08-04,715
2010-08-05,825
2010-08-06,640
2010-08-07,500
2010-08-08,581
2010-08-09,782
2010-08-10,590
2010-08-11,724
2010-08-12,611
2010-08-13,787
