,date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
0,2010-08-05,-183.42343056931713,5016.59,51.92,-0.018841911783728,3180807047.393661,619,0.0,40802.01,10.7,-1.0,498.6428571428572,51.0,-0.0001188283424444,0.0010260416403289
1,2010-08-06,-302.62431176305654,1397.31,48.98,-0.0157382571694609,2699143739.145793,493,0.0,18582.01,10.7,-1.0,490.7857142857143,51.0,-0.0001900776887256,0.000782817774518
2,2010-08-07,4.129634127116261,2625.28,36.71,-0.0160886600189705,2509723549.842423,362,2.31,25270.61,10.7,-1.0,479.6428571428572,51.0,-0.0004167577442026,0.0005429026707739
3,2010-08-08,125.20762066391907,2201.06,39.76,-0.0136269515678929,3387212986.437552,398,0.0,10335.05,10.7,-1.0,482.7142857142857,51.0,-0.0004936225427193,0.0003355976280752
4,2010-08-09,55.37496218980249,13620.25,55.75,-0.0055901738405094,3621742887.625082,595,4.32,77358.90000000001,10.7,-1.0,496.07142857142856,59.0,-0.0001265516863695,0.0002431677651863
5,2010-08-10,-144.56318733418195,1304.75,47.64,-0.0014009853104021,3471423061.165375,406,0.0,33871.85,10.7,-1.0,526.8571428571429,59.0,0.0001281006561993,0.0002201543433889
6,2010-08-11,-197.98536608213365,14095.69,44.44,-0.0010188607162187,3655716813.132255,497,0.0,54887.41,10.7,-1.0,533.9285714285714,59.0,0.0001394529968878,0.0002040140740887
7,2010-08-12,6.860309124395061,2055.26,47.37,-0.0030657239832146,4196148709.845182,378,0.0,15702.83,10.7,-1.0,531.2142857142857,59.0,-3.0308023904843107e-05,0.0001571496544899
8,2010-08-13,51.95245490347893,3601.97,50.0,-0.0021236610795119,3961944703.417531,655,0.0,35062.590000000004,10.7,-1.0,520.0,59.0,-1.0249814851745476e-05,0.0001236697606216
9,2010-08-14,-81.70340141219795,4404.59,39.02,-0.0015618642177605,3518463150.472075,332,0.0,16201.74,10.7,-1.0,488.4285714285714,59.0,6.745348605230461e-07,9.907071546942056e-05
10,2010-08-15,-441.16175776732734,4462.17,77.38,0.0108411376376352,5321191853.00194,247,0.0,16916.58,10.7,-1.0,449.07142857142856,59.0,0.0011458925919301,0.0003084350907615
11,2010-08-16,148.787150363025,10678.23,86.21,0.0264506613677794,2976639595.632737,630,0.67,69174.21,10.7,-1.0,432.2857142857143,50.0,0.0034517602709227,0.0009371001267938
12,2010-08-17,222.5493272745313,13207.49,51.46,0.0206265329111908,3607041860.208564,365,0.0,49995.99,15.8,1.0,432.5,50.0,0.0025140184208922,0.0012524837856134
13,2010-08-18,-96.60788168229159,2957.23,55.36,0.0123148995201616,3451917312.677054,595,1.56,37386.94,15.8,1.0,446.57142857142856,50.0,0.0022999675877242,0.0014619805460356
14,2010-08-19,-95.72967738611129,737.31,55.75,0.0091092221011727,3443559617.218109,336,0.0,20402.1,15.8,1.0,428.07142857142856,50.0,0.0022585641419348,0.0016212972652154
15,2010-08-20,180.76174376504835,4171.63,52.61,0.003020647707498,4589770231.158602,480,0.0,29578.41,15.8,1.0,419.8571428571428,50.0,0.0018697994577187,0.0016709977037161
16,2010-08-21,96.02719221784793,10441.99,54.95,0.0009244214969834,4140981947.703504,365,0.0,38678.31,15.8,1.0,416.9285714285714,50.0,0.0017500337426467,0.0016868049115022
