,date,gesi_value
0,2010-01-01,100.0
1,2010-01-02,100.0
2,2010-01-03,100.0
3,2010-01-04,100.0
4,2010-01-05,100.0
5,2010-01-06,100.0
6,2010-01-07,100.0
7,2010-01-08,100.0
8,2010-01-09,100.0
9,2010-01-10,100.0
10,2010-01-11,100.0
11,2010-01-12,100.0
12,2010-01-13,100.0
13,2010-01-14,100.0
14,2010-01-15,100.0
15,2010-01-16,100.0
16,2010-01-17,100.0
17,2010-01-18,100.0
18,2010-01-19,100.0
19,2010-01-20,100.0
20,2010-01-21,100.0
21,2010-01-22,100.0
22,2010-01-23,100.0
23,2010-01-24,100.0
24,2010-01-25,100.0
25,2010-01-26,100.0
26,2010-01-27,100.0
27,2010-01-28,100.0
28,2010-01-29,100.0
29,2010-01-30,100.0
30,2010-01-31,100.0
31,2010-02-01,100.0
32,2010-02-02,100.0
33,2010-02-03,100.0
34,2010-02-04,100.0
35,2010-02-05,100.0
36,2010-02-06,100.0
37,2010-02-07,100.0
38,2010-02-08,100.0
39,2010-02-09,100.0
40,2010-02-10,100.0
41,2010-02-11,100.0
42,2010-02-12,100.0
43,2010-02-13,100.0
44,2010-02-14,100.0
45,2010-02-15,100.0
46,2010-02-16,100.0
47,2010-02-17,100.0
48,2010-02-18,100.0
49,2010-02-19,100.0
50,2010-02-20,100.0
51,2010-02-21,100.0
52,2010-02-22,190.0
53,2010-02-23,190.0
54,2010-02-24,190.0
55,2010-02-25,190.0
56,2010-02-26,190.0
57,2010-02-27,190.0
58,2010-02-28,190.0
59,2010-03-01,360.0
60,2010-03-02,360.0
61,2010-03-03,360.0
62,2010-03-04,360.0
63,2010-03-05,360.0
64,2010-03-06,360.0
65,2010-03-07,360.0
66,2010-03-08,240.0
67,2010-03-09,240.0
68,2010-03-10,240.0
69,2010-03-11,240.0
70,2010-03-12,240.0
71,2010-03-13,240.0
72,2010-03-14,240.0
73,2010-03-15,160.0
74,2010-03-16,160.0
75,2010-03-17,160.0
76,2010-03-18,160.0
77,2010-03-19,160.0
78,2010-03-20,160.0
79,2010-03-21,160.0
80,2010-03-22,230.0
81,2010-03-23,230.0
82,2010-03-24,230.0
83,2010-03-25,230.0
84,2010-03-26,230.0
85,2010-03-27,230.0
86,2010-03-28,230.0
87,2010-03-29,220.0
88,2010-03-30,220.0
89,2010-03-31,220.0
90,2010-04-01,220.0
91,2010-04-02,220.0
92,2010-04-03,220.0
93,2010-04-04,220.0
94,2010-04-05,190.0
95,2010-04-06,190.0
96,2010-04-07,190.0
97,2010-04-08,190.0
98,2010-04-09,190.0
99,2010-04-10,190.0
100,2010-04-11,190.0
101,2010-04-12,145.0
102,2010-04-13,145.0
103,2010-04-14,145.0
104,2010-04-15,145.0
105,2010-04-16,145.0
106,2010-04-17,145.0
107,2010-04-18,145.0
108,2010-04-19,125.0
109,2010-04-20,125.0
110,2010-04-21,125.0
111,2010-04-22,125.0
112,2010-04-23,125.0
113,2010-04-24,125.0
114,2010-04-25,125.0
115,2010-04-26,141.0
116,2010-04-27,141.0
117,2010-04-28,141.0
118,2010-04-29,141.0
119,2010-04-30,141.0
120,2010-05-01,141.0
121,2010-05-02,141.0
122,2010-05-03,130.0
123,2010-05-04,130.0
124,2010-05-05,130.0
125,2010-05-06,130.0
126,2010-05-07,130.0
127,2010-05-08,130.0
128,2010-05-09,130.0
129,2010-05-10,190.0
130,2010-05-11,190.0
131,2010-05-12,190.0
132,2010-05-13,190.0
133,2010-05-14,190.0
134,2010-05-15,190.0
135,2010-05-16,190.0
136,2010-05-17,110.0
137,2010-05-18,110.0
138,2010-05-19,110.0
139,2010-05-20,110.0
140,2010-05-21,110.0
141,2010-05-22,110.0
142,2010-05-23,110.0
143,2010-05-24,100.0
144,2010-05-25,100.0
145,2010-05-26,100.0
146,2010-05-27,100.0
147,2010-05-28,100.0
148,2010-05-29,100.0
149,2010-05-30,100.0
150,2010-05-31,90.5
151,2010-06-01,90.5
152,2010-06-02,90.5
153,2010-06-03,90.5
154,2010-06-04,90.5
155,2010-06-05,90.5
156,2010-06-06,90.5
157,2010-06-07,80.0
158,2010-06-08,80.0
159,2010-06-09,80.0
160,2010-06-10,80.0
161,2010-06-11,80.0
162,2010-06-12,80.0
163,2010-06-13,80.0
164,2010-06-14,73.0
165,2010-06-15,73.0
166,2010-06-16,73.0
167,2010-06-17,73.0
168,2010-06-18,73.0
169,2010-06-19,73.0
170,2010-06-20,73.0
171,2010-06-21,52.5
172,2010-06-22,52.5
173,2010-06-23,52.5
174,2010-06-24,52.5
175,2010-06-25,52.5
176,2010-06-26,52.5
177,2010-06-27,52.5
178,2010-06-28,52.0
179,2010-06-29,52.0
180,2010-06-30,52.0
181,2010-07-01,52.0
182,2010-07-02,52.0
183,2010-07-03,52.0
184,2010-07-04,52.0
185,2010-07-05,40.0
186,2010-07-06,40.0
187,2010-07-07,40.0
188,2010-07-08,40.0
189,2010-07-09,40.0
190,2010-07-10,40.0
191,2010-07-11,40.0
192,2010-07-12,40.0
193,2010-07-13,40.0
194,2010-07-14,40.0
195,2010-07-15,40.0
196,2010-07-16,40.0
197,2010-07-17,40.0
198,2010-07-18,40.0
199,2010-07-19,60.0
200,2010-07-20,60.0
201,2010-07-21,60.0
202,2010-07-22,60.0
203,2010-07-23,60.0
204,2010-07-24,60.0
205,2010-07-25,60.0
206,2010-07-26,50.0
207,2010-07-27,50.0
208,2010-07-28,50.0
209,2010-07-29,50.0
210,2010-07-30,50.0
211,2010-07-31,50.0
212,2010-08-01,50.0
213,2010-08-02,51.0
214,2010-08-03,51.0
215,2010-08-04,51.0
216,2010-08-05,51.0
217,2010-08-06,51.0
218,2010-08-07,51.0
219,2010-08-08,51.0
220,2010-08-09,59.0
221,2010-08-10,59.0
222,2010-08-11,59.0
223,2010-08-12,59.0
224,2010-08-13,59.0
225,2010-08-14,59.0
226,2010-08-15,59.0
227,2010-08-16,50.0
228,2010-08-17,50.0
229,2010-08-18,50.0
230,2010-08-19,50.0
231,2010-08-20,50.0
232,2010-08-21,50.0
233,2010-08-22,50.0
234,2010-08-23,58.5
235,2010-08-24,58.5
236,2010-08-25,58.5
237,2010-08-26,58.5
238,2010-08-27,58.5
239,2010-08-28,58.5
240,2010-08-29,58.5
241,2010-08-30,41.0
242,2010-08-31,41.0
243,2010-09-01,41.0
244,2010-09-02,41.0
245,2010-09-03,41.0
246,2010-09-04,41.0
247,2010-09-05,41.0
248,2010-09-06,45.0
249,2010-09-07,45.0
250,2010-09-08,45.0
251,2010-09-09,45.0
252,2010-09-10,45.0
253,2010-09-11,45.0
254,2010-09-12,45.0
255,2010-09-13,35.0
256,2010-09-14,35.0
257,2010-09-15,35.0
258,2010-09-16,35.0
259,2010-09-17,35.0
260,2010-09-18,35.0
261,2010-09-19,35.0
262,2010-09-20,32.0
263,2010-09-21,32.0
264,2010-09-22,32.0
265,2010-09-23,32.0
266,2010-09-24,32.0
267,2010-09-25,32.0
268,2010-09-26,32.0
269,2010-09-27,30.0
270,2010-09-28,30.0
271,2010-09-29,30.0
272,2010-09-30,30.0
273,2010-10-01,30.0
274,2010-10-02,30.0
275,2010-10-03,30.0
276,2010-10-04,29.0
277,2010-10-05,29.0
278,2010-10-06,29.0
279,2010-10-07,29.0
280,2010-10-08,29.0
281,2010-10-09,29.0
282,2010-10-10,29.0
283,2010-10-11,25.0
284,2010-10-12,25.0
285,2010-10-13,25.0
286,2010-10-14,25.0
287,2010-10-15,25.0
288,2010-10-16,25.0
289,2010-10-17,25.0
290,2010-10-18,27.0
291,2010-10-19,27.0
292,2010-10-20,27.0
293,2010-10-21,27.0
294,2010-10-22,27.0
295,2010-10-23,27.0
296,2010-10-24,27.0
297,2010-10-25,24.0
298,2010-10-26,24.0
299,2010-10-27,24.0
300,2010-10-28,24.0
301,2010-10-29,24.0
302,2010-10-30,24.0
303,2010-10-31,24.0
304,2010-11-01,49.8
305,2010-11-02,49.8
306,2010-11-03,49.8
307,2010-11-04,49.8
308,2010-11-05,49.8
309,2010-11-06,49.8
310,2010-11-07,49.8
