,date,rub_usd
33,2025-07-08,78.5
34,2025-07-07,78.7
35,2025-07-04,78.75
36,2025-07-03,79.075
37,2025-07-02,78.925
38,2025-07-01,78.5
39,2025-06-30,78.2
40,2025-06-27,78.5
41,2025-06-26,78.75
42,2025-06-25,78.25
43,2025-06-24,78.375
44,2025-06-23,78.5
45,2025-06-20,78.5
46,2025-06-19,78.375
47,2025-06-18,78.5
48,2025-06-17,78.5
49,2025-06-16,78.625
50,2025-06-13,79.71
51,2025-06-12,80.0
52,2025-06-11,79.5
53,2025-06-10,78.475
54,2025-06-09,79.0
55,2025-06-06,78.85
56,2025-06-05,77.25
57,2025-06-04,79.25
58,2025-06-03,78.975
59,2025-06-02,79.25
60,2025-05-30,77.5
61,2025-05-29,76.9
62,2025-05-28,79.875
63,2025-05-27,80.25
64,2025-05-26,79.76
65,2025-05-23,79.5
66,2025-05-22,79.675
67,2025-05-21,79.75
68,2025-05-20,80.625
69,2025-05-19,80.75
70,2025-05-16,81.0
71,2025-05-15,80.0
72,2025-05-14,80.375
73,2025-05-13,79.85
74,2025-05-12,81.0
75,2025-05-09,82.5
76,2025-05-08,82.41
77,2025-05-07,80.625
78,2025-05-06,81.5
79,2025-05-05,81.31
80,2025-05-02,82.75
81,2025-05-01,82.0
82,2025-04-30,82.0
83,2025-04-29,82.0
84,2025-04-28,82.65
85,2025-04-25,82.625
86,2025-04-24,83.2
87,2025-04-23,83.0
88,2025-04-22,81.525
89,2025-04-21,81.0
90,2025-04-18,82.1
91,2025-04-17,82.1705
92,2025-04-16,82.9955
93,2025-04-15,83.5455
94,2025-04-14,82.25
95,2025-04-11,83.2455
96,2025-04-10,83.4955
97,2025-04-09,86.1455
98,2025-04-08,85.8455
99,2025-04-07,86.1455
100,2025-04-04,84.4955
101,2025-04-03,84.0967
102,2025-04-02,84.2455
103,2025-04-01,84.4955
104,2025-03-31,82.9955
105,2025-03-28,84.9455
106,2025-03-27,84.4955
107,2025-03-26,84.0705
108,2025-03-25,84.6205
109,2025-03-24,83.8705
110,2025-03-21,84.4955
111,2025-03-20,84.9205
112,2025-03-19,83.9955
113,2025-03-18,81.7455
114,2025-03-17,83.4455
115,2025-03-14,85.4955
116,2025-03-13,86.2455
117,2025-03-12,87.1455
118,2025-03-11,85.6205
119,2025-03-10,87.6205
120,2025-03-07,89.9955
121,2025-03-06,88.9955
122,2025-03-05,90.3955
123,2025-03-04,89.7455
124,2025-03-03,89.6955
125,2025-02-28,89.3705
126,2025-02-27,87.6955
127,2025-02-26,86.8205
128,2025-02-25,86.5955
129,2025-02-24,87.7455
130,2025-02-21,88.4955
131,2025-02-20,88.6705
132,2025-02-19,89.6205
133,2025-02-18,91.5455
134,2025-02-17,91.4955
135,2025-02-14,91.1205
136,2025-02-13,89.4955
137,2025-02-12,93.9955
138,2025-02-11,96.4955
139,2025-02-10,96.6205
140,2025-02-07,96.9955
141,2025-02-06,96.7455
142,2025-02-05,97.9955
143,2025-02-04,100.6955
144,2025-02-03,99.7455
145,2025-01-31,98.5705
146,2025-01-30,98.4955
147,2025-01-29,99.2455
148,2025-01-28,97.9955
149,2025-01-27,97.3705
150,2025-01-24,97.7955
151,2025-01-23,99.8705
152,2025-01-22,99.2455
153,2025-01-21,99.4955
154,2025-01-20,100.9955
155,2025-01-17,102.4955
156,2025-01-16,102.45
157,2025-01-15,102.4955
158,2025-01-14,102.7
159,2025-01-13,102.7455
160,2025-01-10,101.7455
161,2025-01-09,102.2455
162,2025-01-08,104.4955
163,2025-01-07,107.2455
164,2025-01-06,107.4955
165,2025-01-03,110.4955
166,2025-01-02,110.9955
167,2025-01-01,113.4955
168,2024-12-31,113.4955
169,2024-12-30,110.4955
170,2024-12-27,105.7455
171,2024-12-26,100.0
172,2024-12-25,99.5
173,2024-12-24,99.9955
174,2024-12-23,101.2205
175,2024-12-20,102.9955
176,2024-12-19,103.4955
177,2024-12-18,104.6705
178,2024-12-17,104.5955
179,2024-12-16,103.5955
180,2024-12-13,104.4955
181,2024-12-12,104.9955
182,2024-12-11,105.4955
183,2024-12-10,103.0455
184,2024-12-09,99.9955
185,2024-12-06,100.5455
186,2024-12-05,100.9955
187,2024-12-04,104.9955
188,2024-12-03,104.9955
189,2024-12-02,106.4955
190,2024-11-29,106.4955
191,2024-11-28,107.9955
192,2024-11-27,113.1455
193,2024-11-26,105.4955
194,2024-11-25,103.9955
195,2024-11-22,104.3455
196,2024-11-21,101.2955
197,2024-11-20,100.5955
198,2024-11-19,100.5705
199,2024-11-18,99.7455
200,2024-11-15,99.9955
201,2024-11-14,99.5
202,2024-11-13,98.4955
203,2024-11-12,98.2455
204,2024-11-11,95.9955
205,2024-11-08,97.5955
206,2024-11-07,97.9955
207,2024-11-06,97.2205
208,2024-11-05,97.7955
209,2024-11-04,98.35
210,2024-11-01,97.9955
211,2024-10-31,97.3705
212,2024-10-30,96.9
213,2024-10-29,97.4955
214,2024-10-28,97.15
215,2024-10-25,97.2455
216,2024-10-24,96.2455
217,2024-10-23,95.9955
218,2024-10-22,95.7455
219,2024-10-21,96.7955
220,2024-10-18,96.7
221,2024-10-17,96.7
222,2024-10-16,96.7
223,2024-10-15,96.7
224,2024-10-14,95.5955
225,2024-10-11,95.7955
226,2024-10-10,96.5955
227,2024-10-09,96.9955
228,2024-10-08,96.7455
229,2024-10-07,96.1955
230,2024-10-04,94.9955
231,2024-10-03,94.7455
232,2024-10-02,95.6455
233,2024-10-01,95.8455
234,2024-09-30,92.9955
235,2024-09-27,94.3205
236,2024-09-26,92.613
237,2024-09-25,92.4955
238,2024-09-24,92.7955
239,2024-09-23,91.4705
240,2024-09-20,92.3455
241,2024-09-19,92.1705
242,2024-09-18,93.6205
243,2024-09-17,91.4955
244,2024-09-16,91.3955
245,2024-09-13,89.9955
246,2024-09-12,89.1955
247,2024-09-11,91.5705
248,2024-09-10,90.9955
249,2024-09-09,90.5455
250,2024-09-06,90.3455
251,2024-09-05,88.2455
252,2024-09-04,87.4968
253,2024-09-03,87.7912
254,2024-09-02,89.7955
255,2024-08-30,90.6455
256,2024-08-29,91.9955
257,2024-08-28,91.4955
258,2024-08-27,91.4955
259,2024-08-26,91.9955
260,2024-08-23,91.4955
261,2024-08-22,91.3
262,2024-08-21,91.4955
263,2024-08-20,91.1455
264,2024-08-19,89.8205
265,2024-08-16,89.4455
266,2024-08-15,88.8705
267,2024-08-14,89.7955
268,2024-08-13,90.4955
269,2024-08-12,90.9955
270,2024-08-09,88.5955
271,2024-08-08,86.7
272,2024-08-07,85.7705
273,2024-08-06,85.6705
274,2024-08-05,84.8705
275,2024-08-02,85.4955
276,2024-08-01,85.4955
277,2024-07-31,86.15
278,2024-07-30,85.7455
279,2024-07-29,86.3955
280,2024-07-26,86.0955
281,2024-07-25,84.9955
282,2024-07-24,86.2405
283,2024-07-23,87.8455
284,2024-07-22,87.8455
285,2024-07-19,87.6955
286,2024-07-18,88.3955
287,2024-07-17,88.4955
288,2024-07-16,88.3955
289,2024-07-15,88.3455
290,2024-07-12,87.8705
291,2024-07-11,86.9955
292,2024-07-10,88.3455
293,2024-07-09,86.4955
294,2024-07-08,86.6205
295,2024-07-05,87.9955
296,2024-07-04,88.9955
297,2024-07-03,87.8455
298,2024-07-02,87.8455
299,2024-07-01,86.7455
300,2024-06-28,85.7455
301,2024-06-27,84.9955
302,2024-06-26,88.2455
303,2024-06-25,88.2455
304,2024-06-24,87.9955
305,2024-06-21,89.0705
306,2024-06-20,87.2455
307,2024-06-19,82.634
308,2024-06-18,85.3705
309,2024-06-17,88.7205
310,2024-06-14,89.6118
311,2024-06-13,87.8705
312,2024-06-12,88.9955
313,2024-06-11,89.2455
314,2024-06-10,88.8705
315,2024-06-07,88.633
316,2024-06-06,89.31
317,2024-06-05,89.0455
318,2024-06-04,88.533
319,2024-06-03,89.3205
320,2024-05-31,90.3755
321,2024-05-30,90.3955
322,2024-05-29,89.5705
323,2024-05-28,88.5705
324,2024-05-27,88.9455
325,2024-05-24,89.5955
326,2024-05-23,91.6205
327,2024-05-22,90.1955
328,2024-05-21,90.2205
329,2024-05-20,90.663
330,2024-05-17,90.9955
331,2024-05-16,90.8705
332,2024-05-15,90.746
333,2024-05-14,91.3205
334,2024-05-13,91.5955
335,2024-05-10,92.6705
336,2024-05-09,92.5455
337,2024-05-08,91.6218
338,2024-05-07,91.4455
339,2024-05-06,91.073
340,2024-05-03,90.879
341,2024-05-02,91.1205
342,2024-05-01,93.283
343,2024-04-30,93.4455
344,2024-04-29,93.3205
345,2024-04-26,91.8755
346,2024-04-25,92.2155
347,2024-04-24,92.2957
348,2024-04-23,93.1955
349,2024-04-22,93.432
350,2024-04-19,93.0205
351,2024-04-18,93.795
352,2024-04-17,94.0705
353,2024-04-16,94.1455
354,2024-04-15,93.4955
355,2024-04-12,93.2955
356,2024-04-11,92.867
357,2024-04-10,93.2955
358,2024-04-09,92.8955
359,2024-04-08,92.6205
360,2024-04-05,92.508
361,2024-04-04,92.2455
